anime,year,artist,studio,char1,va1,char2,va2
Moriarty the Patriot,2020,Hikaru Miyoshi,Production I.G,William James Moriarty,Soma Saito,Sherlock Holmes,Makoto Furukawa
That Time I Got Reincarnated as a Slime,2018,Taiki Kawakami,Eight Bit,Rimuru Tempest,Miho Okasaki,Shuna,Sayaka Senbongi
No Game No Life,2014,Yuu Kamiya,Madhouse,Sora,Yoshitsugu Matsuoka,Shiro,Ai Kayano
The Misfit of Demon King Academy,2020,Kayaharuka,Silver Link,Anos Voldigoad,Tatsuhisa Suzuki,Misha Necron,Tomori Kusunoki
Bungo Stray Dogs,2016,Harukawa35,Bones,Osamu Dazai,Mamoru Miyano,Chuya Nakahara,Kisho Taniyama
Maid Sama!,2010,Hiro Fujiwara,J.C.Staff,Misaki Ayuzawa,Ayumi Fujimura,Takumi Usui,Nobuhiko Okamoto
Overlord,2015,Hugin Miyama,Madhouse,Ainz Ooal Gown,Satoshi Hino,Albedo,Yumi Hara
My Hero Academia,2016,Kohei Horikoshi,Bones,Izuku Midoriya,Daiki Yamashita,Katsuki Bakugo,Nobuhiko Okamoto
Angels of Death,2018,Kudana Naduka,J.C.Staff,Rachel Gardner,Haruka Chisuga,Isaac Foster,Nobuhiko Okamoto
The Eminence in Shadow,2022,Anri Sakano,Nexus,Cid Kagenou,Seichiro Yamashita,Alpha,Asami Seto
Tsukimichi: Moonlit Fantasy,2021,Kotatora,J.C.Staff,Makoto Misumi,Natsuki Hanae,Tomoe,Ayane Sakura
The Case Study of Vanitas,2021,Jun Mochizuki,Bones,Vanitas,Natsuki Hanae,Noé Archiviste,Kaito Ishikawa
Saga of Tanya the Evil,2017,Chika Tojo,NUT,Tanya Degurechaff,Aoi Yuki,Victoria Ivanovna Serebryakov,Saori Hayami
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,2021,Haga Sumitomo,Silver Link,Lugh Tuatha Dé,Kenji Akabane,Dia Vicone,Reina Ueda
Classroom of the Elite,2017,Yuyu Ichino,Lerche,Kiyotaka Ayanokoji,Shoya Chiba,Suzune Horikita,Akari Kito
Kakegurui,2017,Toru Naomura,MAPPA,Yumeko Jabami,Saori Hayami,Mary Saotome,Minami Tanaka
Cinderella Chef,2018,Mo Jian Bi Xia,Wawayu Animation,Ye Jiayao,Shi Si,Xia Chunyu,Dawei Shen
My Isekai Life,2022,Ponjea,REVOROOT,Yuji,Chiaki Kobayashi,Proud Wolf,Wataru Takagi
Black Summoner,2022,Jyu Ginmokusei,Satelight,Kelvin,Koki Uchiyama,Efil,Manaka Iwami
Problem Children Are Coming from Another World.Aren't They?,2013,Nanami Natsutsu,Diomedéa,Izayoi Sakamaki,Shintaro Asanuma,Kuro Usagi,Iori Nomizu
Log Horizon,2013,Kazuhiro Hara,Satelight,Shiroe,Takuma Terashima,Akatsuki,Emiri Kato
Cautious Hero: The Hero Is Overpowered but Overly Cautious,2019,Koyuki,White Fox,Seiya Ryuuguuin,Yuichiro Umehara,Ristarte,Aki Toyosaki
The Aristocrat’s Otherworldly Adventure: Serving Gods Who Go Too Far,2023,Nini,Magic Bus,Cain von Silford,Ai Yoshikawa,Silk von Santana,Aya Uchida
Inu x Boku SS,2012,Cocoa Fujiwara,David Production,Ririchiyo Shirakiin,Rina Hidaka,Soushi Miketsukami,Yuichi Nakamura
The Villainess Is Adored by the Prince of the Neighbor Kingdom,2026,Hoshina,Studio Deen,Tiararose,Rie Tomita,Aquasteed,Yuichiro Umehara
A Gentle Noble's Vacation Recommendation,2026,Momochi,SynergySP,Lizel,Soma Saito,Gil,Yuichiro Umehara
Campfire Cooking in Another World with My Absurd Skill,2023,K Akagishi,MAPPA,Tsuyoshi Mukouda,Yuma Uchida,Fel,Satoshi Hino
Akashic Records of Bastard Magic Instructor,2017,Aosa Tsunemi,Liden Films,Glenn Radars,Soma Saito,Sixtine Fibel,Akane Fujita
La storia della Arcana Famiglia,2012,Ruru Ozaka,J.C.Staff,Felicita,Mamiko Noto,Liberta,Jun Fukuyama
Snow White with the Red Hair,2015,Sorata Akizuki,Bones,Shirayuki,Saori Hayami,Zen Wistalia,Ryota Osaka
Noblesse,2020,Lee Kwang-su,Production I.G,Cadis Etrama Di Raizel,Shinnosuke Tachibana,Frankenstein,Daisuke Hirakawa
Tower of God,2020,SIU,Telecom Animation Film,Twenty-Fifth Bam,Taichi Ichikawa,Khun Aguero Agnis,Nobuhiko Okamoto
Yuri!!! on Ice,2016,Mitsurou Kubo,MAPPA,Yuuri Katsuki,Toshiyuki Toyonaga,Victor Nikiforov,Junichi Suwabe
Grandmaster of Demonic Cultivation,2018,Luo Di Qiu,B.CMAY PICTURES,Wei Wuxian,Zhang Jie,Lan Wangji,Bian Jiang
The Genius Prince's Guide to Raising a Nation Out of Debt,2022,Emiji Kanda,Yokohama Animation Lab,Wein,Soma Saito,Ninym Ralei,Rie Takahashi
Grimoire of Zero,2017,Takeshi Iwasaki,White Fox,Zero,Yumi Hanamori,Mercenary,Tsuyoshi Koyama
How Not to Summon a Demon Lord,2018,Naoto Fukuda,Ajia-do Animation Works,Diablo,Masaaki Mizunaka,Shera L. Greenwood,Yu Serizawa
Demon Lord. Retry!,2019,Amaru Kotoba,EKACHI EPILKA,Hakuto Kunai,Kenjiro Tsuda,Aku,Kanon Takao
Spice and Wolf,2008,Keito Koume,White Fox,Kraft Lawrence,Jun Fukuyama,Holo,Ami Koshimizu
Wise Man's Grandchild,2019,Shunsuke Ogata,Silver Link,Shin Wolford,Yusuke Kobayashi,Sizilien von Claude,Rina Honnizumi
In Another World With My Smartphone,2017,Soto,J.C.Staff,Touya Mochizuki,Katsumi Fukuhara,Elze Silhoueska,Maaya Uchida
The Strongest Sage with the Weakest Crest,2022,Kansho,J.C.Staff,Matthias Hildesheimer,Nina Tamaki,Lurie Abendroth,Sayaka Senbongi
The Reincarnation of the Strongest Exorcist in Another World,2023,Toshinori Okazaki,Studio Blanc,Seika Lamprogue,Yumiri Hanamori,Efa,Akari Kito

