character,archetype
William James Moriarty,Genius Mastermind
Sherlock Holmes,Genius Mastermind
Rimuru Tempest,Overpowered Hero
Shuna,Loyal Supporter
Sora,Genius Mastermind
Shiro,Genius Mastermind
Anos Voldigoad,Overpowered Hero
Misha Necron,Loyal Supporter
Osamu Dazai,Genius Mastermind
Chuya Nakahara,Overpowered Hero
Misaki Ayuzawa,Tsundere Character
Takumi Usui,Overpowered Hero
Ainz Ooal Gown,Overpowered Hero
Albedo,Loyal Supporter
Izuku Midoriya,Overpowered Hero
Katsuki Bakugo,Aggressive Rival
Rachel Gardner,Quiet Protagonist
Isaac Foster,Overpowered Hero
Cid Kagenou,Overpowered Hero
Alpha,Loyal Supporter
Makoto Misumi,Overpowered Hero
Tomoe,Loyal Supporter
Vanitas,Genius Mastermind
Noé Archiviste,Loyal Supporter
Tanya Degurechaff,Overpowered Hero
Victoria Ivanovna Serebryakov,Loyal Supporter
Lugh Tuatha Dé,Overpowered Hero
Dia Vicone,Loyal Supporter
Kiyotaka Ayanokoji,Genius Mastermind
Suzune Horikita,Tsundere Character
Yumeko Jabami,Genius Mastermind
Mary Saotome,Tsundere Character
Ye Jiayao,Quiet Protagonist
Xia Chunyu,Tsundere Character
Yuji,Overpowered Hero
Proud Wolf,Loyal Supporter
Kelvin,Overpowered Hero
Efil,Loyal Supporter
Izayoi Sakamaki,Overpowered Hero
Kuro Usagi,Loyal Supporter
Shiroe,Genius Mastermind
Akatsuki,Loyal Supporter
Seiya Ryuuguuin,Overpowered Hero
Ristarte,Loyal Supporter
Cain von Silford,Overpowered Hero
Silk von Santana,Loyal Supporter
Ririchiyo Shirakiin,Tsundere Character
Soushi Miketsukami,Loyal Supporter
Tiararose,Quiet Protagonist
Aquasteed,Doting Prince
Lizel,Genius Mastermind
Gil,Loyal Supporter
Tsuyoshi Mukouda,Quiet Protagonist
Fel,Overpowered Hero
Glenn Radars,Genius Mastermind
Sixtine Fibel,Tsundere Character
Felicita,Quiet Protagonist
Liberta,Aggressive Rival
Shirayuki,Quiet Protagonist
Zen Wistalia,Doting Prince
Cadis Etrama Di Raizel,Overpowered Hero
Frankenstein,Overpowered Hero
Twenty-Fifth Bam,Overpowered Hero
Khun Aguero Agnis,Genius Mastermind
Yuuri Katsuki,Quiet Protagonist
Victor Nikiforov,Overpowered Hero
Wei Wuxian,Genius Mastermind
Lan Wangji,Loyal Supporter
Wein,Genius Mastermind
Ninym Ralei,Loyal Supporter
Zero,Overpowered Hero
Mercenary,Loyal Supporter
Diablo,Overpowered Hero
Shera L. Greenwood,Loyal Supporter
Hakuto Kunai,Overpowered Hero
Aku,Loyal Supporter
Kraft Lawrence,Genius Mastermind
Holo,Genius Mastermind
Shin Wolford,Overpowered Hero
Sizilien von Claude,Loyal Supporter
Touya Mochizuki,Overpowered Hero
Elze Silhoueska,Loyal Supporter
Matthias Hildesheimer,Overpowered Hero
Lurie Abendroth,Loyal Supporter
Seika Lamprogue,Genius Mastermind
Efa,Loyal Supporter
Yumiya Thoma,Genius Mastermind
Patrick Ashbatten,Aggressive Rival
Elise de Clorance,Genius Mastermind
Linden de Romanoff,Tsundere Character
Lydia Carlton,Quiet Protagonist
Edgar J. C. Ashenbert,Genius Mastermind
Ann Halford,Quiet Protagonist
Challe Fen Challe,Tsundere Character
Nanami Momozono,Quiet Protagonist
Tomoe (Kamisama Kiss),Tsundere Character
Miyo Saimori,Quiet Protagonist
Kiyoka Kudo,Tsundere Character
Aileen Lauren d'Autriche,Genius Mastermind
Claude Jean Elmeyer,Overpowered Hero
Raeliana McMillan,Genius Mastermind
Noah Voltaire Wynknight,Genius Mastermind
Qian Yunxi,Quiet Protagonist
Ye Youming,Tsundere Character
Bertia Noches,Quiet Protagonist
Cecil Glo Alphasta,Genius Mastermind
Erika Shinohara,Quiet Protagonist
Kyouya Sata,Tsundere Character
Haruka Kotoura,Quiet Protagonist
Yoshihisa Manabe,Loyal Supporter

