anime,genre
Moriarty the Patriot,Mystery
That Time I Got Reincarnated as a Slime,Isekai
No Game No Life,Isekai
The Misfit of Demon King Academy,Fantasy
Bungo Stray Dogs,Supernatural
Maid Sama!,School
Overlord,Isekai
My Hero Academia,Action
Angels of Death,Psychological
The Eminence in Shadow,Isekai
Tsukimichi: Moonlit Fantasy,Isekai
The Case Study of Vanitas,Supernatural
Saga of Tanya the Evil,Isekai
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Isekai
Classroom of the Elite,School
Kakegurui,Psychological
Cinderella Chef,Isekai
My Isekai Life,Isekai
Black Summoner,Isekai
Problem Children Are Coming from Another World.Aren't They?,Isekai
Log Horizon,Isekai
Cautious Hero: The Hero Is Overpowered but Overly Cautious,Isekai
The Aristocrat’s Otherworldly Adventure: Serving Gods Who Go Too Far,Isekai
Inu x Boku SS,Supernatural
The Villainess Is Adored by the Prince of the Neighbor Kingdom,Romance
A Gentle Noble's Vacation Recommendation,Fantasy
Campfire Cooking in Another World with My Absurd Skill,Isekai
Akashic Records of Bastard Magic Instructor,Fantasy
La storia della Arcana Famiglia,Supernatural
Snow White with the Red Hair,Romance
Noblesse,Supernatural
Tower of God,Fantasy
Yuri!!! on Ice,Sports
Grandmaster of Demonic Cultivation,Fantasy
The Genius Prince's Guide to Raising a Nation Out of Debt,Fantasy
Grimoire of Zero,Fantasy
How Not to Summon a Demon Lord,Isekai
Demon Lord. Retry!,Isekai
Spice and Wolf,Fantasy
Wise Man's Grandchild,Isekai
In Another World With My Smartphone,Isekai
The Strongest Sage with the Weakest Crest,Fantasy
The Reincarnation of the Strongest Exorcist in Another World,Fantasy
Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord,Isekai
Doctor Elise: The Royal Lady with the Lamp,Isekai
Earl and Fairy,Romance
Sugar Apple Fairy Tale,Fantasy
Kamisama Kiss,Supernatural
My Happy Marriage,Romance
I'm the Villainess. So I'm Taming the Final Boss,Isekai
The Reason Why Raeliana End up at the Duke's Mansion,Isekai
Psychic Princess,Romance
An Observation Log of My Fiancée Who Calls Herself a Villainess,Romance
Wolf Girl and Black Prince,School
Kotoura-san,School

